item,version_group,version,price_type,amount,currency,note,source
ultra-ball,legends-arceus,,buy,600,poke-dollar,,pokeapi
ultra-ball,legends-arceus,,sell,150,poke-dollar,,pokeapi
great-ball,legends-arceus,,buy,300,poke-dollar,,pokeapi
great-ball,legends-arceus,,sell,75,poke-dollar,,pokeapi
heavy-ball,legends-arceus,,buy,120,poke-dollar,,pokeapi
heavy-ball,legends-arceus,,sell,30,poke-dollar,,pokeapi
adamant-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
aguav-berry,legends-arceus,,sell,150,poke-dollar,,bulbapedia
apricorn,legends-arceus,legends-arceus,buy,40,poke-dollar,,pokedb
apricorn,legends-arceus,legends-arceus,sell,10,poke-dollar,,pokedb
aspear-berry,legends-arceus,,buy,120,poke-dollar,,bulbapedia
aspear-berry,legends-arceus,,sell,40,poke-dollar,,bulbapedia
aux-evasion,legends-arceus,legends-arceus,sell,400,poke-dollar,,pokedb
aux-guard,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
aux-power,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
aux-powerguard,legends-arceus,legends-arceus,sell,600,poke-dollar,,pokedb
ball-of-mud,legends-arceus,legends-arceus,sell,10,poke-dollar,,pokedb
bean-cake,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
bean-cake,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
black-augurite,legends-arceus,,buy,8000,poke-dollar,,bulbapedia
black-augurite,legends-arceus,,sell,500,poke-dollar,,bulbapedia
black-tumblestone,legends-arceus,legends-arceus,buy,80,poke-dollar,,pokedb
black-tumblestone,legends-arceus,legends-arceus,sell,20,poke-dollar,,pokedb
blue-shard,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
bold-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
brave-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
bugwort,legends-arceus,legends-arceus,buy,180,poke-dollar,,pokedb
bugwort,legends-arceus,legends-arceus,sell,45,poke-dollar,,pokedb
cake-lure-base,legends-arceus,legends-arceus,buy,100,poke-dollar,,pokedb
cake-lure-base,legends-arceus,legends-arceus,sell,25,poke-dollar,,pokedb
calm-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
candy-truffle,legends-arceus,legends-arceus,buy,600,poke-dollar,,pokedb
candy-truffle,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
careful-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
caster-fern,legends-arceus,legends-arceus,buy,140,poke-dollar,,pokedb
caster-fern,legends-arceus,legends-arceus,sell,35,poke-dollar,,pokedb
cheri-berry,legends-arceus,,buy,120,poke-dollar,,bulbapedia
cheri-berry,legends-arceus,,sell,30,poke-dollar,,bulbapedia
chesto-berry,legends-arceus,,buy,120,poke-dollar,,bulbapedia
chesto-berry,legends-arceus,,sell,30,poke-dollar,,bulbapedia
choice-dumpling,legends-arceus,legends-arceus,sell,600,poke-dollar,,pokedb
crunchy-salt,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
crunchy-salt,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
dazzling-honey,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
dazzling-honey,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
dire-hit,legends-arceus,,sell,400,poke-dollar,,bulbapedia
direshroom,legends-arceus,legends-arceus,buy,480,poke-dollar,,pokedb
direshroom,legends-arceus,legends-arceus,sell,120,poke-dollar,,pokedb
doppel-bonnets,legends-arceus,legends-arceus,buy,480,poke-dollar,,pokedb
doppel-bonnets,legends-arceus,legends-arceus,sell,120,poke-dollar,,pokedb
dubious-disc,legends-arceus,,buy,10000,poke-dollar,,bulbapedia
